"Ссылка на объявление","Название","Цена","Метро","Корпус/Этаж","Заселение"
"https://www.pik.ru/flat/660042","1 комната, 32.2 м²","11 235 932 ₽","Братиславская
         • Люблинский парк","Корпус 12, Этаж 11 из 16","Заселение до 31 марта 2026"
"https://www.pik.ru/flat/781813","1 комната, 42.2 м²","13 574 474 ₽","Кантемировская
         • Кавказский бульвар 51","Корпус 1.5, Этаж 25 из 33","Заселение до 31 октября 2025"
"https://www.pik.ru/flat/954837","1 комната, 36.3 м²","10 552 410 ₽","Грачёвская
         • Бусиновский парк","Корпус 22.4, Этаж 23 из 24","Заселение до 28 февраля 2027"
"https://www.pik.ru/flat/781555","1 комната, 32.2 м²","12 155 500 ₽","Кантемировская
         • Кавказский бульвар 51","Корпус 1.5, Этаж 13 из 33","Заселение до 31 октября 2025"
"https://www.pik.ru/flat/958146","1 комната, 36.3 м²","8 337 964 ₽","Щербинка
         • Юнино","Корпус 2.2, Этаж 10 из 17","Заселение до 30 августа 2026"
"https://www.pik.ru/flat/928187","2 комнаты, 55.5 м²","17 526 456 ₽","Текстильщики
         • Волжский парк","Корпус 5.3, Этаж 19 из 24","Заселение до 28 февраля 2026"
"https://www.pik.ru/flat/887267","Студия, 23.8 м²","9 744 386 ₽","Лихоборы
         • Большая Академическая 85","Корпус 3.4, Этаж 22 из 24","Заселение до 30 марта 2026"
"https://www.pik.ru/flat/972174","1 комната, 38.5 м²","15 916 131 ₽","Аминьевская
         • Матвеевский парк","Корпус 4.3, Этаж 16 из 31","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/972305","Студия, 19.8 м²","9 447 284 ₽","Аминьевская
         • Матвеевский парк","Корпус 4.3, Этаж 21 из 31","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/867970","1 комната, 32.2 м²","11 265 492 ₽","Саларьево
         • Саларьево парк","Корпус 68.5, Этаж 14 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/967515","1 комната, 38.3 м²","16 610 863 ₽","Водный стадион
         • Кронштадтский 9","Корпус 1.1.2, Этаж 12 из 12","Заселение до 30 декабря 2027"
"https://www.pik.ru/flat/795400","Студия, 23.5 м²","8 716 642 ₽","Бульвар Рокоссовского
         • Открытый парк","Корпус 1.4, Этаж 26 из 33","Дом сдан"
"https://www.pik.ru/flat/904079","1 комната, 34.5 м²","13 766 328 ₽","Шоссе Энтузиастов
         • Плеханова 11","Корпус 1.5, Этаж 23 из 31","Заселение до 30 сентября 2026"
"https://www.pik.ru/flat/874990","1 комната, 34.7 м²","10 607 581 ₽","Медведково
         • Полар","Корпус 1.5, Этаж 5 из 50","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/867462","1 комната, 32.3 м²","11 198 345 ₽","Саларьево
         • Саларьево парк","Корпус 68.5, Этаж 4 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/926337","Студия, 27.9 м²","12 891 474 ₽","Спартак
         • Holland park","Корпус 8, Этаж 24 из 24","Заселение до 30 мая 2026"
"https://www.pik.ru/flat/971632","Студия, 24.2 м²","9 386 954 ₽","Аминьевская
         • Матвеевский парк","Корпус 4.1, Этаж 14 из 26","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/867085","2 комнаты, 48.5 м²","15 301 071 ₽","Саларьево
         • Саларьево парк","Корпус 68.4, Этаж 9 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642808","2 комнаты, 60.1 м²","9 718 170 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 21 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642812","1 комната, 35.9 м²","6 573 290 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 22 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642816","2 комнаты, 49.1 м²","8 783 990 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 23 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642830","2 комнаты, 49.1 м²","8 818 360 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 20 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642834","1 комната, 35.8 м²","6 408 200 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 19 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642851","2 комнаты, 56.6 м²","8 971 100 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 21 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642852","2 комнаты, 60.1 м²","9 748 220 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 19 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642853","1 комната, 35.9 м²","6 580 470 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 21 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642859","1 комната, 35.8 м²","6 411 780 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 18 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642864","2 комнаты, 49.1 м²","8 484 480 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 18 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642870","1 комната, 33.9 м²","6 363 030 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 18 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642871","1 комната, 33.9 м²","6 379 980 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 15 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642878","1 комната, 33.9 м²","6 271 500 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642881","1 комната, 34.1 м²","6 209 610 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 17 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642887","1 комната, 33.9 м²","6 020 640 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 15 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642888","1 комната, 33.9 м²","6 234 210 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642889","2 комнаты, 57 м²","9 177 000 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642891","1 комната, 35.8 м²","6 440 420 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 14 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642895","2 комнаты, 57.1 м²","9 193 100 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642941","1 комната, 34.1 м²","6 233 480 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642899","2 комнаты, 60.1 м²","9 778 270 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642900","2 комнаты, 57.1 м²","9 193 100 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 15 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642903","1 комната, 35.8 м²","6 444 000 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642905","1 комната, 33.9 м²","6 379 980 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642928","Студия, 23.5 м²","5 094 800 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642934","Студия, 19.8 м²","4 765 860 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642941","1 комната, 34.1 м²","6 233 480 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642945","2 комнаты, 57 м²","9 194 100 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642946","1 комната, 33.9 м²","6 271 500 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 11 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642948","1 комната, 35.8 м²","6 429 680 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 11 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642950","2 комнаты, 49.1 м²","8 857 640 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 11 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642953","2 комнаты, 57.1 м²","9 175 970 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 10 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/642954","1 комната, 35.9 м²","6 609 190 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 10 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643027","1 комната, 35.9 м²","6 530 210 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 6 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643113","1 комната, 35.9 м²","6 155 270 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 16 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643129","2 комнаты, 51 м²","8 613 900 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 15 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643130","1 комната, 35.9 м²","6 422 510 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 15 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643135","2 комнаты, 55.9 м²","8 955 180 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 13 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643145","2 комнаты, 55.9 м²","9 033 440 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 12 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643188","2 комнаты, 55.9 м²","8 988 720 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 9 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643153","2 комнаты, 56.3 м²","9 649 820 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 12 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643154","Студия, 25.4 м²","5 290 820 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 12 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643174","2 комнаты, 51 м²","8 675 100 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 11 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643175","1 комната, 32.2 м²","6 134 100 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 11 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643178","2 комнаты, 59.9 м²","9 757 710 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 12 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643184","Студия, 25.4 м²","5 303 520 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 10 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643188","2 комнаты, 55.9 м²","8 988 720 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 9 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643281","Студия, 19.9 м²","4 789 930 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 14 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643312","Студия, 19.9 м²","4 795 900 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 8 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643326","1 комната, 32.2 м²","6 494 740 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 9 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643327","3 комнаты, 80.5 м²","13 733 300 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 9 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643331","1 комната, 32.2 м²","6 485 080 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 7 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643491","1 комната, 35.9 м²","6 727 660 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 24 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643494","1 комната, 35.9 м²","6 709 710 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 25 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643511","2 комнаты, 49.1 м²","8 196 950 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 22 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643514","1 комната, 35.9 м²","6 752 790 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 22 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643543","1 комната, 33.9 м²","6 190 140 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 19 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643565","Студия, 19.8 м²","4 753 980 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 17 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643598","Студия, 19.8 м²","4 573 324 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 15 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643633","1 комната, 34.1 м²","6 294 860 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 12 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643783","1 комната, 38.7 м²","7 129 468 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 8 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643785","1 комната, 34.1 м²","6 213 020 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 9 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643800","1 комната, 32.2 м²","6 163 080 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 5 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643815","2 комнаты, 56.9 м²","9 325 910 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 16 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643819","2 комнаты, 56.9 м²","9 411 260 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 12 из 16","Заселение до 30 ноября 2025"
